Date,Actual,Predicted_RNN,Predicted_GRU,Predicted_LSTM
2022-11-13,5212.5,5123.458,5179.6367,5210.956
2022-11-14,5125.0,5123.458,5179.6367,5210.956
2022-11-15,5125.0,5041.02,5095.9834,5127.587
2022-11-16,5000.0,5041.02,5095.9834,5127.587
2022-11-17,4950.0,4922.8247,4976.1323,5008.0806
2022-11-18,5087.5,4875.4097,4928.08,4960.1475
2022-11-19,5087.5,5005.613,5060.071,5091.785
2022-11-20,5087.5,5005.613,5060.071,5091.785
2022-11-21,5050.0,5005.613,5060.071,5091.785
2022-11-22,5062.5,4970.1626,5024.122,5055.9395
2022-11-23,5100.0,4981.9844,5036.1084,5067.8926
2022-11-24,5112.5,5017.4204,5072.046,5103.7236
2022-11-25,5087.5,5029.222,5084.017,5115.6577
2022-11-26,5087.5,5005.613,5060.071,5091.785
2022-11-27,5087.5,5005.613,5060.071,5091.785
2022-11-28,5062.5,5005.6133,5060.0703,5091.785
2022-11-29,5162.5,4981.9844,5036.108,5067.8926
2022-11-30,5262.5,5076.382,5131.8604,5163.345
2022-12-01,5200.0,5170.454,5227.346,5258.4873
2022-12-02,5262.5,5111.6978,5167.698,5199.06
2022-12-03,5262.5,5170.454,5227.346,5258.4873
2022-12-04,5262.5,5170.454,5227.346,5258.4873
2022-12-05,5437.5,5170.454,5227.346,5258.4873
2022-12-06,5450.0,5334.2793,5393.79,5424.214
2022-12-07,5187.5,5345.942,5405.646,5436.013
2022-12-08,5025.0,5099.9297,5155.757,5187.16
2022-12-09,4962.5,4946.5034,5000.1353,5032.0186
2022-12-10,4962.5,4887.2705,4940.0986,4972.137
2022-12-11,4962.5,4887.2705,4940.0986,4972.137
2022-12-12,4975.0,4887.2705,4940.0986,4972.137
2022-12-13,4950.0,4899.1274,4952.114,4984.1235
2022-12-14,4975.0,4875.4097,4928.08,4960.1475
2022-12-15,4950.0,4899.1274,4952.114,4984.1235
2022-12-16,5050.0,4875.4097,4928.08,4960.1475
2022-12-17,5050.0,4970.1626,5024.122,5055.9395
2022-12-18,5050.0,4970.1626,5024.122,5055.9395
2022-12-19,5000.0,4970.1626,5024.122,5055.9395
2022-12-20,5025.0,4922.8247,4976.1323,5008.0806
2022-12-21,5000.0,4946.5034,5000.1353,5032.0186
2022-12-22,4975.0,4922.8247,4976.1323,5008.0806
2022-12-23,4962.5,4899.1274,4952.114,4984.1235
2022-12-24,4962.5,4887.2705,4940.0986,4972.137
2022-12-25,4962.5,4887.2705,4940.0986,4972.137
2022-12-26,5025.0,4887.2705,4940.0986,4972.137
2022-12-27,4975.0,4946.5034,5000.1353,5032.0186
2022-12-28,4987.5,4899.1274,4952.114,4984.1235
2022-12-29,4987.5,4910.979,4964.1245,4996.1035
2022-12-30,4962.5,4910.9795,4964.1245,4996.104
2022-12-31,4962.5,4887.271,4940.0986,4972.1367
2023-01-01,4962.5,4887.2705,4940.0986,4972.137
2023-01-02,4937.5,4887.2705,4940.0986,4972.137
2023-01-03,4975.0,4863.544,4916.057,4948.1523
2023-01-04,5012.5,4899.1274,4952.114,4984.1235
2023-01-05,4912.5,4934.667,4988.135,5020.0522
2023-01-06,4900.0,4839.799,4891.999,4924.1484
2023-01-07,4900.0,4827.9175,4879.965,4912.14
2023-01-08,4900.0,4827.9175,4879.965,4912.14
2023-01-09,4862.5,4827.9175,4879.965,4912.14
2023-01-10,4637.5,4792.2485,4843.838,4876.0874
2023-01-11,4475.0,4577.357,4626.365,4658.947
2023-01-12,4600.0,4421.259,4468.575,4501.279
2023-01-13,4587.5,4541.3994,4590.005,4622.622
2023-01-14,4587.5,4529.405,4577.877,4610.5063
2023-01-15,4587.5,4529.405,4577.877,4610.5063
2023-01-16,4650.0,4529.405,4577.877,4610.5063
2023-01-17,4875.0,4589.334,4638.4775,4671.0454
2023-01-18,4775.0,4804.142,4855.8833,4888.11
2023-01-19,4875.0,4708.8555,4759.4077,4791.8096
2023-01-20,4987.5,4804.142,4855.8833,4888.11
2023-01-21,4987.5,4910.979,4964.1245,4996.1035
2023-01-22,4987.5,4910.979,4964.1245,4996.1035
2023-01-23,4987.5,4910.979,4964.1245,4996.1035
2023-01-24,4950.0,4910.979,4964.1245,4996.1035
2023-01-25,4850.0,4875.4097,4928.08,4960.1475
2023-01-26,4912.5,4780.349,4831.787,4864.062
2023-01-27,5012.5,4839.799,4891.999,4924.1484
2023-01-28,5012.5,4934.667,4988.135,5020.0522
2023-01-29,5012.5,4934.667,4988.135,5020.0522
2023-01-30,4975.0,4934.667,4988.135,5020.0522
2023-01-31,4975.0,4899.127,4952.114,4984.1235
2023-02-01,4850.0,4899.127,4952.114,4984.1235
2023-02-02,4862.5,4780.349,4831.787,4864.062
2023-02-03,4962.5,4792.2485,4843.838,4876.0874
2023-02-04,4962.5,4887.2705,4940.0986,4972.137
2023-02-05,4962.5,4887.2705,4940.0986,4972.137
2023-02-06,4937.5,4887.2705,4940.0986,4972.137
2023-02-07,5087.5,4863.544,4916.057,4948.1523
2023-02-08,5100.0,5005.613,5060.071,5091.785
2023-02-09,5125.0,5017.4204,5072.046,5103.7236
2023-02-10,5150.0,5041.02,5095.9834,5127.587
2023-02-11,5150.0,5064.5986,5119.9053,5151.431
2023-02-12,5150.0,5064.5986,5119.9053,5151.431
2023-02-13,5175.0,5064.5986,5119.9053,5151.431
2023-02-14,5187.5,5088.158,5143.8105,5175.2554
